instance,domain,heuristic,plan_length,plan_cost,states_expanded,states_reopened,states_evaluated,evaluations,states_generated,dead_ends,states_expanded_ulj,states_reopened_ulj,states_evaluated_ulj,states_generated_ulj,registered_states,hash_set_load_factor,hash_set_resizes,search_time,total_time,peak_memory
freecell - probfreecell-6-2.pddl,freecell,add,32,32,33,0,472,472,480,0,0,0,1,0,472,0.921875,9,0.291899,0.496533,66256
freecell - probfreecell-6-2.pddl,freecell,cg,29,29,65844,2751,363417,363417,964678,0,0,0,1,0,363417,0.693163,19,44.648,44.7675,80328
freecell - probfreecell-6-3.pddl,freecell,add,32,32,36,0,458,458,471,0,0,0,1,0,458,0.894531,9,0.251667,0.400702,66236
freecell - probfreecell-6-3.pddl,freecell,cg,32,32,275,0,2679,2679,3390,0,0,0,1,0,2679,0.654053,12,0.549097,0.668514,68628
freecell - probfreecell-6-4.pddl,freecell,add,31,31,38,0,474,474,493,0,0,0,1,0,474,0.925781,9,0.248844,0.404031,66244
freecell - probfreecell-6-4.pddl,freecell,cg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
freecell - probfreecell-6-5.pddl,freecell,add,34,34,65,0,930,930,1020,0,0,0,1,0,930,0.908203,10,0.468967,0.630932,66252
freecell - probfreecell-6-5.pddl,freecell,cg,33,33,2660,21,10716,10716,27222,0,0,0,1,0,10716,0.654053,14,1.46612,1.58214,68364
freecell - p07.pddl,freecell,add,50,50,339,2,1619,1619,2636,60,0,0,1,0,1619,0.790527,11,0.360805,0.429814,60496
freecell - p07.pddl,freecell,cg,46,46,2607,374,5603,5603,13122,0,0,0,1,0,5603,0.68396,13,0.684816,0.746772,64276
freecell - probfreecell-7-1.pddl,freecell,add,39,39,48,0,553,553,574,0,0,0,1,0,553,0.540039,10,0.364836,0.549826,67848
freecell - probfreecell-7-1.pddl,freecell,cg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
freecell - probfreecell-7-2.pddl,freecell,add,40,40,43,0,530,530,547,1,0,0,1,0,530,0.517578,10,0.334018,0.538727,67844
freecell - probfreecell-7-2.pddl,freecell,cg,36,36,15285,2021,62657,62657,187209,0,0,0,1,0,62657,0.478035,17,9.8727,10.0067,67304
freecell - probfreecell-7-3.pddl,freecell,add,38,38,39,0,509,509,518,0,0,0,1,0,509,0.49707,10,0.331886,0.523526,67836
freecell - probfreecell-7-3.pddl,freecell,cg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
freecell - probfreecell-7-4.pddl,freecell,add,38,38,134,2,1273,1273,1642,0,0,0,1,0,1273,0.621582,11,0.797106,0.996909,67828
freecell - probfreecell-7-4.pddl,freecell,cg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
freecell - probfreecell-7-5.pddl,freecell,add,43,43,505,6,6012,6012,8030,0,0,0,1,0,6012,0.733887,13,3.58416,3.76825,67844
freecell - probfreecell-7-5.pddl,freecell,cg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
freecell - p08.pddl,freecell,add,58,58,133,1,943,943,1198,11,0,0,1,0,943,0.920898,10,0.327619,0.428609,62284
freecell - p08.pddl,freecell,cg,48,48,83840,5543,158588,158588,495611,0,73602,2726,139354,432078,158588,0.604965,18,21.2044,21.2824,68500
freecell - probfreecell-8-1.pddl,freecell,add,52,52,254,7,2430,2430,3343,2,0,0,1,0,2430,0.593262,12,1.7369,1.97982,70176
freecell - probfreecell-8-1.pddl,freecell,cg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
freecell - probfreecell-8-2.pddl,freecell,add,46,46,56,0,635,635,666,0,0,0,1,0,635,0.620117,10,0.728935,1.04748,70168
depot - p01.pddl,depot,add,10,10,11,0,53,53,65,0,0,0,1,0,53,0.828125,6,0.0033565,0.0100632,56124
depot - p01.pddl,depot,cg,11,11,69,2,158,158,422,0,60,2,138,372,158,0.617188,8,0.004406,0.0121782,57296
depot - p02.pddl,depot,add,16,16,19,0,108,108,138,0,0,0,1,0,108,0.84375,7,0.0028776,0.0111267,56268
depot - p02.pddl,depot,cg,15,15,67,0,281,281,491,0,32,0,111,224,281,0.548828,9,0.00907,0.0250703,69844
depot - p03.pddl,depot,add,32,32,127,0,630,630,1059,0,4,0,21,28,630,0.615234,10,0.0308168,0.0406722,56524
depot - p03.pddl,depot,cg,29,29,3771,36,12933,12933,32507,0,1454,6,5307,12476,12933,0.789368,14,0.275732,0.294706,70128
depot - p04.pddl,depot,add,40,40,17647,2709,42320,42320,153237,0,16296,2687,37576,141586,42320,0.645752,16,2.32125,2.34526,58684
